id,archived,harvest_id,name,updated_at,updated_by_id
732424,False,,The Alan Turing Institute,2018-08-30T07:54:47.005Z,
732425,False,,Intel,2018-11-09T16:28:47.523Z,399979.0
744985,False,,Wrattler,2018-11-09T16:09:14.214Z,399979.0
745536,False,,Wilfrid Kendall (Warwick University),2018-11-09T16:09:26.494Z,399979.0
745537,False,,HSBC,2018-11-09T16:28:53.761Z,399979.0
745538,False,,TMF,2018-11-09T16:18:22.247Z,399979.0
745539,False,,Turing,2018-11-09T16:09:35.972Z,399979.0
745540,False,7236211.0,Hut 23,2018-11-09T15:41:31.200Z,399979.0
745541,False,7236234.0,Research Support,2018-11-09T15:42:12.530Z,399979.0
745542,False,7738296.0,TIL,2019-02-07T13:27:09.250Z,399979.0
745543,False,,PDQ,2018-11-09T16:19:18.246Z,399979.0
745544,False,,SHEEP,2018-11-09T16:18:41.949Z,399979.0
761645,False,7265152.0,Defence and security,2018-11-09T15:39:27.272Z,399979.0
761647,False,7343534.0,Seed,2018-10-25T10:47:07.216Z,399979.0
761648,False,7343536.0,External,2018-10-25T10:47:50.301Z,399979.0
769467,False,7394382.0,Health,2018-11-09T15:50:04.954Z,399979.0
769469,False,7394383.0,Finance and economics,2018-11-09T15:53:07.859Z,399979.0
769477,False,7394386.0,Data science at scale,2018-11-09T16:04:35.933Z,399979.0
769480,False,7394377.0,Urban analytics,2018-11-09T16:12:33.956Z,399979.0
770999,False,7444895.0,SPF,2018-12-05T10:25:19.477Z,399979.0
780929,False,7394380.0,Data science for science and the humanities,2018-12-04T17:24:27.614Z,399979.0
780936,False,7394384.0,Data-centric engineering,2018-12-04T17:43:23.360Z,399979.0
781283,False,7273629.0,Trac days,2018-12-05T14:12:07.802Z,399979.0
781284,False,7394387.0,Artifical Intelligence,2018-12-05T14:12:07.820Z,399979.0
781285,False,7394488.0,"Tools, Practices, and Systems",2018-12-05T14:12:07.836Z,399979.0
784816,False,7515887.0,Alan Turing Institute,2018-12-13T15:30:34.996Z,399979.0
815228,False,7738175.0,Leeds,2019-02-07T13:27:09.234Z,399979.0
829222,False,,UNAVAILABLE,2019-03-05T09:37:56.386Z,399979.0
833514,False,7889179.0,Wellcome Trust,2019-03-12T15:10:36.009Z,399979.0
