,billable_by_default,created_at,default_hourly_rate,id,is_active,is_default,name,updated_at
0,False,2019-04-05T12:44:55Z,,11872228,True,False,Reviewing,2019-04-05T12:44:55Z
1,False,2019-04-05T12:44:55Z,,11872227,True,False,RepRes lunches,2019-04-05T12:44:55Z
2,False,2019-04-05T12:44:55Z,,11872226,True,False,Content review,2019-04-05T12:44:55Z
3,False,2019-04-05T12:44:55Z,,11872225,True,False,Meetings,2019-04-05T12:44:55Z
4,False,2019-03-29T08:29:33Z,,11822350,True,False,Documentation,2019-03-29T08:29:33Z
5,False,2019-03-29T08:29:33Z,,11822349,True,False,Support,2019-03-29T08:29:33Z
6,False,2019-03-20T13:13:28Z,,11766581,True,False,RCWG,2019-03-20T13:13:28Z
7,True,2019-02-04T09:49:17Z,,11458389,True,False,Research,2019-02-04T09:49:17Z
8,True,2018-12-21T16:59:09Z,,11186091,True,False,Literature Review,2018-12-21T16:59:09Z
9,True,2018-12-10T15:00:06Z,,11119890,True,False,Hartree workshop,2018-12-10T15:00:06Z
10,False,2018-11-27T18:34:28Z,,11020422,True,False,Project work,2018-11-27T18:34:28Z
11,False,2018-11-26T11:24:27Z,,11008294,True,False,Content generation,2018-11-26T11:24:27Z
12,False,2018-11-26T11:24:27Z,,11008293,True,False,BinderHub,2018-11-26T11:24:27Z
13,False,2018-11-26T11:24:27Z,,11008292,True,False,Champions: Terry,2018-11-26T11:24:27Z
14,False,2018-11-26T11:24:27Z,,11008291,True,False,Champions: Theo,2018-11-26T11:24:27Z
15,False,2018-11-26T11:24:27Z,,11008290,True,False,Champions: Elena,2018-11-26T11:24:27Z
16,False,2018-11-14T10:52:15Z,,10949942,True,False,Recruiting (including CV screening and interviewing),2018-11-14T10:52:15Z
17,False,2018-11-13T18:56:32Z,,10946217,True,False,New starter on-boarding,2018-11-13T18:56:32Z
18,True,2018-11-09T16:38:25Z,,10925236,True,False,General,2018-11-09T16:38:25Z
19,True,2018-11-09T16:37:50Z,,10925228,True,False,Artifical intelligence,2018-11-09T16:37:50Z
20,True,2018-11-09T16:37:50Z,,10925227,True,False,Finance and economics,2018-11-09T16:37:50Z
21,True,2018-11-09T16:37:50Z,,10925226,True,False,Defence and security,2018-11-09T16:37:50Z
22,True,2018-11-09T16:37:50Z,,10925225,True,False,Public policy,2018-11-09T16:37:50Z
23,True,2018-11-09T16:37:50Z,,10925224,True,False,Health,2018-11-09T16:37:50Z
24,True,2018-11-09T16:37:50Z,,10925223,True,False,"Tools, Practices, and Systems",2018-11-09T16:37:50Z
25,True,2018-11-09T16:37:49Z,,10925222,True,False,Data science for science and the humanities,2018-11-09T16:37:49Z
26,True,2018-11-09T16:37:49Z,,10925221,True,False,Data science at scale,2018-11-09T16:37:49Z
27,True,2018-11-09T16:37:49Z,,10925220,True,False,Urban analytics,2018-11-09T16:37:49Z
28,True,2018-11-09T16:37:49Z,,10925219,True,False,Data-centric engineering,2018-11-09T16:37:49Z
29,False,2018-11-09T15:59:40Z,,10924904,True,False,Team support,2018-11-09T15:59:40Z
30,False,2018-11-09T15:59:40Z,,10924903,True,False,Team events,2018-11-09T15:59:40Z
31,False,2018-11-09T15:58:42Z,,10924898,True,False,Self-directed study,2018-11-09T15:58:42Z
32,False,2018-11-09T15:58:42Z,,10924897,True,False,Personal projects and blue-skies work,2018-11-09T15:58:42Z
33,False,2018-11-09T15:58:42Z,,10924896,True,False,Conferences and seminars,2018-11-09T15:58:42Z
34,True,2018-11-07T20:19:22Z,,10911795,True,False,Writing,2018-11-07T20:19:22Z
35,True,2018-11-07T09:21:57Z,,10906199,True,False,Meetings and presentations (including prep),2018-11-07T09:21:57Z
36,False,2018-11-01T14:38:13Z,,10859647,True,False,GOSH,2018-11-01T14:38:13Z
37,True,2018-10-25T12:20:48Z,,10787736,True,False,Imported from spreadsheet,2018-10-25T12:20:48Z
38,True,2018-10-25T12:19:29Z,,10787729,True,False,Imported,2018-10-25T12:19:29Z
39,False,2018-10-04T12:36:34Z,,10665526,True,False,Leave,2018-10-04T12:36:34Z
40,False,2018-10-04T12:35:28Z,,10665521,True,False,Sickness,2018-10-04T12:35:28Z
41,False,2018-10-01T12:05:26Z,,10638208,True,False,Reading/learning,2018-10-01T12:05:26Z
42,False,2018-10-01T12:05:26Z,,10638207,True,False,Attend seminar,2018-10-01T12:05:26Z
43,False,2018-09-26T09:01:34Z,,10612440,True,False,Institute support,2018-09-26T09:01:34Z
44,False,2018-09-26T09:01:34Z,,10612439,True,False,AIrsenal,2018-09-26T09:01:34Z
45,False,2018-09-25T16:54:50Z,,10607888,True,False,Sales,2018-09-25T16:54:50Z
46,False,2018-09-25T16:51:38Z,,10607866,True,False,Admin,2018-09-25T16:51:38Z
47,False,2018-09-25T16:47:10Z,,10607840,True,False,Attend conference,2018-09-25T16:47:10Z
48,False,2018-09-25T16:47:10Z,,10607839,True,False,Attend training event,2018-09-25T16:47:10Z
49,True,2018-08-16T13:09:04Z,,10376536,True,False,Report,2018-08-16T13:09:04Z
50,False,2018-08-16T10:37:17Z,,10375720,True,False,Vacation,2018-08-16T10:37:17Z
51,False,2018-08-16T10:37:17Z,,10375719,True,True,Business Development,2018-08-16T10:37:17Z
52,True,2018-08-16T10:37:17Z,,10375718,True,True,Project Management,2018-08-16T10:37:17Z
53,True,2018-08-16T10:37:17Z,,10375717,True,True,Marketing,2018-08-16T10:37:17Z
54,True,2018-08-16T10:37:17Z,,10375716,True,True,Programming,2018-08-16T10:37:17Z
55,True,2018-08-16T10:37:17Z,,10375715,True,True,Graphic Design,2018-08-16T10:37:17Z
